foveation,original_acc,original_conf_correct,original_conf_incorrect,object_acc,object_conf_correct,object_conf_incorrect,ooc_acc,ooc_conf_correct,ooc_conf_incorrect
base,0.38542,0.6192391407597025,0.29418734528533846,0.17044,0.5823576022560252,0.3009281367418466,0.11968666666666668,0.5232921302474641,0.25400342421607125
crop,0.42916,0.6556388291209396,0.31145951859613186,0.2636,0.5949700823098941,0.2535543114050873,0.18754,0.5753613183929657,0.2677408250420807
blur-light,0.39728,0.6720103476405822,0.3409916052206874,0.18108,0.6364614578444936,0.34108444706095165,0.14227333333333333,0.5906383590880783,0.3137718615245058
blur-nosal,0.38766,0.6587635883366195,0.33283543768171103,0.18718,0.6214541822985549,0.3451819797275068,0.14033333333333334,0.5799256425330008,0.3014185516346168
blur-strong,0.37658,0.6481889261968441,0.32913704893870954,0.1567,0.611478472627514,0.3398198019907976,0.13714666666666667,0.5689465628433287,0.2965228285510861
cm-light,0.41512,0.6304539862817728,0.29685170166861946,0.1917,0.5917773204902745,0.3200878643101356,0.15450666666666665,0.5388412145306802,0.25047141365827247
cm-nosal,0.42644,0.6196874745997156,0.28301401082271727,0.21314,0.5905570444231735,0.29211216988581007,0.18016,0.5349702279217866,0.2419583184086638
cm-strong,0.43044,0.6316586548668317,0.2933570652978029,0.2214,0.5907153789452071,0.29786751101512604,0.19153333333333333,0.5445017511844069,0.24999962427713918
