name,id,optimizer.lr,base_lr,knn_top1_best,knn_top5_best,final_loss,knn_top1_k100,knn_top1_k10,knn_top1_k20,knn_top1_k50,knn_top5_k100,knn_top5_k10,knn_top5_k20,knn_top5_k50
mocov3-ego4d-lr08,s7as8zl4,1.6,0.8,32.68,59.64,0.3233714997768402,32.02,31.52,32.68,32.26,59.64,52.58,56.16,58.94
mocov3-ego4d-lr16,wfnd9156,3.2,1.6,34.78,62.64,0.256245881319046,34.26,33.0,34.78,34.72,62.64,54.98,59.2,61.9
mocov3-ego4d-lr24,lqca4b5f,4.8,2.4,36.92,64.7,0.24863047897815704,36.5,35.02,36.56,36.92,64.7,55.92,60.06,63.68
mocov3-ego4d-lr28,nldcokj5,5.6,2.8,36.96,64.5,0.2562200129032135,36.94,35.54,36.56,36.96,64.5,56.46,60.28,63.6
mocov3-ego4d-lr30,cs9wv0vq,6.0,3.0,38.9,65.92,0.258026123046875,38.16,37.08,38.9,38.34,65.92,58.54,62.56,65.08
mocov3-ego4d-lr34,ic0zwwyz,6.8,3.4,38.56,65.32,0.26870352029800415,38.2,36.76,38.14,38.56,65.32,56.92,60.84,64.12
