model,spearman_rho,p_value,n_samples,rho_squared
base,0.14905081061313938,2.88444451165575e-246,50000,0.02221614414443394
crop,0.1031252691793007,2.873844833645992e-118,50000,0.010634821143303228
blur-light,0.1505661396774276,2.589797013353826e-251,50000,0.022670162417362638
blur-nosal,0.14880242486318848,1.915255636761805e-245,50000,0.022142161645164853
blur-strong,0.14570814328447906,2.5384043213695675e-235,50000,0.02123086301941028
cm-light,0.12894441928002506,2.567697412023845e-184,50000,0.0166266632634629
cm-nosal,0.09483295413885239,3.1142900796211767e-100,50000,0.00899328919070168
cm-strong,0.055626025388993965,1.4396180603567103e-35,50000,0.003094254700577001
