label,class_name,accuracy,mean_mask_area,std_mask_area,min_mask_area,max_mask_area,q05_mask_area,q95_mask_area,n_samples,mean_conf
340,zebra,96.0,0.29898437698837366,0.22937882396604672,0.0024642858188599,0.8277305364608765,0.021263523958623323,0.7426213979721069,50,0.8772731548547745
986,yellow_lady's_slipper,94.0,0.07887761987745757,0.07144978469787568,0.0047447448596358,0.3153949975967407,0.01256800014525646,0.2246149867773055,50,0.8880734956264495
685,odometer,92.0,0.38478580631315706,0.2512764032463543,0.0163573324680328,0.9426783919334412,0.06260213162750002,0.8358932346105575,50,0.8798849138617516
661,Model_T,88.0,0.40595697045326234,0.1209381204162958,0.1767093390226364,0.7394773364067078,0.24698400050401684,0.6373671889305115,50,0.6939922657608986
640,manhole_cover,88.0,0.550231224372983,0.21599753938825703,0.0420053340494632,0.9964586496353148,0.2706733003258705,0.9695103913545606,50,0.8204014102369547
425,barn,88.0,0.2241251954063773,0.1398844403524372,0.0174551587551832,0.6574506759643555,0.05363949015736574,0.5096121236681938,50,0.7701796415448189
565,freight_car,86.0,0.5240647764503956,0.24099941819017545,0.0162186659872531,0.9911519885063172,0.1070033999159932,0.8299816697835921,50,0.7435739052295685
873,triumphal_arch,84.0,0.39530711352825165,0.2035935438485241,0.0341493338346481,0.9960479736328124,0.08749786689877503,0.7359750300645826,50,0.7503690925240517
139,ruddy_turnstone,84.0,0.13043481476604935,0.08157344602980601,0.0209843404591083,0.3928500115871429,0.026358381193131154,0.29080724269151675,50,0.7679698383808136
628,liner,84.0,0.13476088987081308,0.14926426369427714,0.0008763441001065,0.6019253134727478,0.002259589184541215,0.44434187412261944,50,0.7227591735124588
87,African_grey,84.0,0.3052023725956678,0.18534046570720913,0.0147360004484653,0.7846538424491882,0.07423065155744545,0.6621875077486037,50,0.6578866781294346
607,jack-o'-lantern,82.0,0.2812017071060836,0.17884703896056228,0.0046133333817124,0.7708693146705627,0.028213332872837744,0.5893306612968443,50,0.8108491492271424
404,airliner,82.0,0.16472816051915284,0.13479717450460774,0.0080853337422013,0.6629068851470947,0.037609908170998074,0.4226105853915214,50,0.7067933739721775
